PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
IGDbY,5QK1/6P1/8/2p1nB2/2P5/3p2q1/8/2k5 w - - 0 75,f8c5 d3d2 c5d4 d2d1q d4a1 c1d2 a1d1 d2d1,1654,74,100,195,advancedPawn crushing endgame promotion veryLong,https://lichess.org/CD4m9yG8#Some(148),
hgRHm,5r2/p5pk/1q4b1/3Q4/4P1P1/P4P2/1P4B1/3R2K1 w - - 3 36,d5d4 f8d8 d4b6 d8d1 g1f2 a7b6,1672,75,96,1306,advantage endgame exposedKing intermezzo long sacrifice skewer,https://lichess.org/FnXgfoHm#Some(70),
HzwN9,r5k1/5pbp/6p1/p1Q1p3/8/1P1rBqP1/P4P1P/1RR3K1 w - - 0 22,c5c6 d3d1 c1d1 f3c6,1743,77,96,17798,advantage deflection master middlegame short,https://lichess.org/nVpocrYk#Some(42),
MDSIK,r2qr1k1/1p3ppp/p2b1n2/2pP2B1/P1n1N3/7P/1P2QPP1/R4RK1 w - - 0 16,e2c4 e8e4 c4e4 f6e4 g5d8 a8d8,1513,75,97,5940,advantage long middlegame,https://lichess.org/RHLA2aNM#Some(30),Queens_Gambit_Accepted Queens_Gambit_Accepted_Other_variations
ooRS3,r4knr/ppN1bppp/3p2q1/4p3/2BnP3/7P/PPPP1PP1/R1BQK2R w KQ - 1 11,c7a8 g6g2 d1g4 g2h1,1960,75,96,283,advantage middlegame short,https://lichess.org/OTMkgqCH#Some(20),Italian_Game Italian_Game_Paris_Defense
uKXy5,1r2r1k1/1bpp1ppp/p7/1p2R3/3B3P/6P1/PPP2P2/4R1K1 b - - 2 24,g8f8 e5e8 b8e8 d4g7 f8g7 e1e8,1655,76,97,3352,crushing deflection discoveredAttack endgame long,https://lichess.org/CkEIMHRD/black#Some(47),
X7BLx,r2qk2r/ppp1p1bp/2n2np1/8/2BP4/5R2/PPP3PP/RNBQ2K1 b kq - 0 10,c6d4 f3d3 e7e5 c2c3,1622,74,96,6082,advantage opening short,https://lichess.org/hH0RQSCX/black#Some(19),Modern_Defense Modern_Defense_Other_variations
YANVD,1Q6/2B5/bPk5/p7/2r1p1p1/2b1P3/4KPP1/8 w - - 6 38,c7d8 c4d4,1576,76,97,755,discoveredAttack endgame mate mateIn1 oneMove,https://lichess.org/kudJeLMa#Some(74),
AG9Ag,8/1pp5/p5p1/5kP1/2P2p1P/8/4QPK1/1q6 b - - 2 38,b1e4 e2e4 f5e4 h4h5 g6h5 g5g6,1824,73,96,7271,crushing endgame long queenEndgame,https://lichess.org/IZjKvlpp/black#Some(75),
rA8B8,r2r2k1/1p2Rpp1/p2b3p/2Nb4/8/P1B3P1/1P3P1P/3R2K1 w - - 7 30,c5b7 d6e7 b7d8 a8d8,1691,74,95,6263,crushing middlegame short,https://lichess.org/zQlpCbqa#Some(58),
0x6F7,8/7p/4kp2/p4pp1/2r2P2/P1N2KP1/1P1R3P/8 w - - 0 42,d2d5 c4c3 b2c3 e6d5 f3e3 d5c4,1559,75,96,16066,crushing endgame long,https://lichess.org/t74My3gc#Some(82),
cq56V,r2q1rk1/ppp2ppp/2n2n2/2PN4/8/1P4P1/P3bPBP/R1BQ1RK1 w - - 0 13,d5f6 d8f6 d1e2 f6a1,1559,390,100,5,equality opening short,https://lichess.org/GkVKdcqf#Some(24),
InDQG,5Q2/7p/4q1pk/8/8/6KP/8/8 b - - 3 58,h6g5 f8f4 g5h5 f4h4,1756,77,95,12119,endgame mate mateIn2 queenEndgame short,https://lichess.org/oGYJTpZC/black#Some(115),
nI56I,2rq1rk1/1p1bpp1p/p3P1p1/8/1PPR4/2N1n3/P1Q1B1PP/5RK1 w - - 1 19,d4d7 e3c2 d7d8 c8d8,1924,77,95,3919,advantage middlegame short,https://lichess.org/VcyUYpqQ#Some(36),Indian_Defense Indian_Defense_Wade-Tartakower_Defense
J7hYi,r3k2r/ppp2pp1/3p4/2bPqb2/8/P3PBPp/1P3P1P/R1BQ1RK1 b kq - 2 15,f5e4 d1a4 b7b5 a4e4 e5e4 f3e4,1691,74,96,1915,advantage long middlegame,https://lichess.org/0lguncDt/black#Some(29),Englund_Gambit Englund_Gambit_Other_variations
eaSQS,r1b1k2r/pp1ppp1p/6p1/q2Pb3/4P1n1/2N2N2/PP1B2PP/R2QKB1R w KQkq - 4 11,h2h3 e5g3 e1e2 a5a6 c3b5 a6b5,1622,75,97,4651,exposedKing long mate mateIn3 opening,https://lichess.org/yXYi1f7u#Some(20),Sicilian_Defense Sicilian_Defense_Alapin_Variation
